        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4291.89610 0.0005       0.0005    0    1    0    2    0    2    7    3   s  E"  101    0    0    0    0    0    0    6    1   a  E'    4 21CeCaCo.161
4291.97380 0.0005       0.0005    0    2    1    0    1    0    4    1   a  E'  129    0    1    0    0    0    0    5    2   a  E"    8 21CeCaCo.162
4292.04980 0.0005       0.0005    1    1    0    0    0    0    4    2   s  E'   65    0    0    0    0    0    0    4    2   a  E"    2 21CeCaCo.163
4292.08840 0.0005       0.0005    1    1    0    0    0    0    3    3   s A2"   22    0    0    0    0    0    0    3    3   a A2'    1 21CeCaCo.164
4292.19690 0.0005       0.0005    0    1    1    0    1    0    7    3   a  E'  118    0    0    0    0    0    0    8    4   a  E"    4 21CeCaCo.165
4292.32240 0.0005       0.0005    1    1    0    0    0    0    4    1   s  E"   65    0    0    0    0    0    0    4    1   a  E'    3 21CeCaCo.166
4292.32241 0.0005       0.0005    0    2    1    0    1    0    6    5   s  E"  163    0    1    0    0    0    0    5    4   s  E'    5 21CeCaCo.167
4292.42910 0.0005       0.0005    0    1    0    2    0    0    6    5   a  E'   83    0    0    0    0    0    0    5    5   s  E"    1 21CeCaCo.168
4292.56920 0.0005       0.0005    1    1    0    0    0    0    3    2   s  E'   49    0    0    0    0    0    0    3    2   a  E"    1 21CeCaCo.169
4292.59760 0.0005       0.0005    0    1    0    2    0    2    8    4   s  E'  114    0    0    0    0    0    0    7    2   a  E"    4 21CeCaCo.170
4292.65120 0.0005       0.0005    0    2    1    0    1    0    5    3   s  E"  149    0    1    0    0    0    0    4    2   s  E'    5 21CeCaCo.171
4292.85010 0.0005       0.0005    1    1    0    0    0    0    3    1   s  E"   50    0    0    0    0    0    0    3    1   a  E'    2 21CeCaCo.172
4292.90270 0.0005       0.0005    1    1    0    0    0    0    7    6   s A2'   54    0    0    0    0    0    0    6    0   a A2"    3 21CeCaCo.173
4292.95270 0.0005       0.0005    1    1    0    0    0    0    2    2   s  E'   37    0    0    0    0    0    0    2    2   a  E"    1 21CeCaCo.174
4293.00460 0.0005       0.0005    0    1    1    0    1    0    7    1   a A2'   66    0    0    0    0    0    0    8    3   s A2"    2 21CeCaCo.175
