        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"         Source
9791.67038  0.01  0.01     1     0     1     2    1    2   4   4  a   A2"  425     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.142
9614.99064  0.01  0.01     2     0     1     0    1    0   4   2  a   A2"  425     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.560
9644.36833  0.01  0.01     2     0     1     0    1    0   4   2  a    E"  817     0     0     0     0    0    0   5   4  s    E'    2 17BaPoYuTe.555
9687.41237  0.01  0.01     2     0     1     0    1    0   4   2  a    E"  817     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.557
9562.40764  0.01  0.01     2     0     0     2    0    2   5   4  s    E'  963     0     0     0     0    0    0   6   5  s    E"    1 17BaPoYuTe.247
9649.25142  0.01  0.01     2     0     1     0    1    0   5   5  s    E"  972     0     0     0     0    0    0   5   4  s    E'    2 17BaPoYuTe.474
9748.54634  0.01  0.01     2     0     1     0    1    0   5   5  s    E"  972     0     0     0     0    0    0   4   4  s    E'    1 17BaPoYuTe.478
9530.32316  0.01  0.01     2     0     1     0    1    0   5   5  s    E"  972     0     0     0     0    0    0   6   4  s    E'    2 17BaPoYuTe.472
9563.54204  0.01  0.01     2     0     0     2    0    2   5   4  a    E"  972     0     0     0     0    0    0   6   5  a    E'    1 17BaPoYuTe.379
9690.01386  0.01  0.01     2     0     1     0    1    0   4   1  a   A2'  395     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.563
9606.49618  0.01  0.01     2     0     1     0    1    0   4   1  s    E"  820     0     0     0     0    0    0   5   2  s    E'    3 17BaPoYuTe.462
9773.15685  0.01  0.01     2     0     1     0    1    0   4   1  s    E"  820     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.466
9723.72344  0.01  0.01     2     0     1     0    1    0   4   1  s   A2"  429     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.464
9803.15464  0.01  0.01     2     0     1     0    1    0   4   1  s   A2"  429     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.467
9653.10240  0.01  0.01     2     0     1     0    1    0   5   5  a    E'  966     0     0     0     0    0    0   5   4  a    E"    2 17BaPoYuTe.575
9700.32612  0.01  0.01     2     0     1     0    1    0   4   0  s    E'  831     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.463
9601.26430  0.01  0.01     2     0     1     0    1    0   4   0  s    E'  831     0     0     0     0    0    0   5   1  s    E"    4 17BaPoYuTe.461
9779.69603  0.01  0.01     2     0     1     0    1    0   4   0  s    E'  831     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.465
